generation,average,median,best
62.0,0.9575904761904762,0.9585714285714286,0.9795238095238096
63.0,0.9600095238095239,0.9623809523809523,0.978095238095238
64.0,0.9605333333333332,0.963095238095238,0.982857142857143
65.0,0.9492285714285714,0.9669047619047618,0.9838095238095238
66.0,0.9408761904761904,0.9590476190476189,0.9795238095238096
67.0,0.9608285714285714,0.9659523809523809,0.9857142857142858
68.0,0.9588,0.9611904761904762,0.9866666666666667
69.0,0.9646190476190476,0.9647619047619048,0.9899999999999999
70.0,0.9645333333333334,0.9647619047619047,0.9866666666666667
71.0,0.9640285714285715,0.9664285714285714,0.9885714285714285
72.0,0.9611619047619048,0.9647619047619047,0.9866666666666667
73.0,0.961342857142857,0.9642857142857143,0.9857142857142858
74.0,0.9650095238095239,0.9673809523809523,0.9885714285714285
75.0,0.9599809523809523,0.9638095238095238,0.9933333333333333
76.0,0.9679238095238094,0.970952380952381,0.9885714285714285
77.0,0.9660571428571428,0.9680952380952381,0.9885714285714285
78.0,0.9654000000000003,0.9683333333333335,0.9914285714285714
79.0,0.9502095238095238,0.9678571428571429,0.9890476190476191
80.0,0.956847619047619,0.9645238095238096,0.9909523809523809
81.0,0.965647619047619,0.9680952380952381,0.9914285714285714
82.0,0.9514190476190477,0.9669047619047619,0.9890476190476191
83.0,0.9526952380952384,0.9680952380952381,0.9880952380952381
84.0,0.9695523809523808,0.9738095238095238,0.9904761904761904
85.0,0.9681619047619047,0.9714285714285714,0.9885714285714285
86.0,0.9690285714285714,0.9714285714285714,0.9904761904761905
87.0,0.9550952380952381,0.9700000000000001,0.9890476190476191
88.0,0.9662476190476191,0.973095238095238,0.9885714285714285
89.0,0.9679809523809524,0.9702380952380951,0.9866666666666667
90.0,0.9657333333333336,0.9688095238095238,0.9895238095238096
91.0,0.9698095238095239,0.9721428571428572,0.9861904761904761
92.0,0.9644095238095235,0.9700000000000001,0.9885714285714285
93.0,0.9554666666666667,0.9671428571428571,0.9928571428571429
94.0,0.9653523809523812,0.9692857142857143,0.9885714285714285
95.0,0.9600857142857143,0.9695238095238095,0.9961904761904762
96.0,0.9510666666666667,0.9702380952380952,0.9904761904761905
97.0,0.9707428571428572,0.9716666666666667,0.9909523809523809
98.0,0.9658952380952379,0.9692857142857143,0.9952380952380953
99.0,0.9507238095238096,0.9666666666666667,0.9899999999999999
100.0,0.9739714285714285,0.9771428571428571,0.9928571428571428
101.0,0.9645714285714285,0.9702380952380952,0.9938095238095238
102.0,0.9737142857142856,0.9747619047619048,0.9909523809523809
103.0,0.9732380952380953,0.9745238095238096,0.9933333333333333
104.0,0.9514952380952382,0.9792857142857143,0.9961904761904762
105.0,0.9734666666666668,0.9742857142857142,0.9966666666666667
106.0,0.9749904761904763,0.9778571428571429,0.9928571428571429
107.0,0.9752380952380952,0.98,0.9914285714285714
108.0,0.9605142857142855,0.9769047619047619,0.9933333333333333
109.0,0.9667523809523808,0.9735714285714285,0.9923809523809525
110.0,0.9728952380952381,0.9769047619047617,0.9919047619047618
111.0,0.976952380952381,0.9797619047619048,0.9923809523809523
112.0,0.9681142857142856,0.9738095238095237,0.9942857142857142
113.0,0.9730857142857142,0.9752380952380952,0.9947619047619046
114.0,0.9638380952380953,0.9735714285714285,0.9904761904761905
115.0,0.9724761904761904,0.9797619047619048,0.9909523809523809
116.0,0.9660666666666667,0.9764285714285714,0.9961904761904762
117.0,0.9722666666666666,0.9761904761904763,0.9928571428571429
118.0,0.9754285714285713,0.979047619047619,0.9923809523809523
119.0,0.970752380952381,0.9776190476190476,0.9942857142857142
120.0,0.9763619047619048,0.980952380952381,0.9933333333333332
121.0,0.9773619047619049,0.9785714285714286,0.9961904761904762
122.0,0.9776571428571427,0.9795238095238095,0.9938095238095238
123.0,0.9744571428571429,0.9795238095238096,0.9904761904761905
124.0,0.9753142857142856,0.9776190476190476,0.9895238095238096
125.0,0.9765999999999999,0.98,0.9909523809523809
126.0,0.9769714285714285,0.977857142857143,0.9923809523809523
127.0,0.9724571428571429,0.9728571428571429,0.9938095238095238
128.0,0.9740666666666665,0.9778571428571428,0.9947619047619046
129.0,0.9725714285714285,0.9776190476190476,0.9952380952380953
130.0,0.9713523809523807,0.9788095238095238,0.9957142857142857
131.0,0.9730095238095238,0.9761904761904763,0.9942857142857143
132.0,0.9611904761904762,0.978095238095238,0.9933333333333333
133.0,0.974247619047619,0.9792857142857143,0.9942857142857142
