generation,average,median,best
108.0,0.9961083333333335,0.9983333333333334,1.0
109.0,0.978875,0.9991666666666666,1.0
110.0,0.9935999999999998,1.0,1.0
111.0,0.9974416666666666,1.0,1.0
112.0,0.9982666666666666,0.9997916666666666,1.0
113.0,0.9977666666666667,0.9995833333333334,1.0
114.0,0.9804083333333332,0.9991666666666666,1.0
115.0,0.9623333333333335,1.0,1.0
116.0,0.9980166666666667,1.0,1.0
117.0,0.9950000000000001,1.0,1.0
118.0,0.9986333333333335,1.0,1.0
119.0,0.9977333333333334,1.0,1.0
120.0,0.9986,1.0,1.0
121.0,0.9816499999999999,1.0,1.0
122.0,0.9942333333333333,1.0,1.0
123.0,0.9914083333333333,0.9991666666666666,1.0
124.0,0.9918250000000001,1.0,1.0
125.0,0.9974916666666667,1.0,1.0
126.0,0.9976583333333333,1.0,1.0
127.0,0.9944333333333333,1.0,1.0
128.0,0.9885916666666666,1.0,1.0
129.0,0.9878916666666667,0.9997916666666666,1.0
130.0,0.9965083333333333,1.0,1.0
131.0,0.9971416666666667,1.0,1.0
132.0,0.9872666666666667,1.0,1.0
133.0,0.9924333333333334,1.0,1.0
134.0,0.9804333333333334,1.0,1.0
135.0,0.995275,1.0,1.0
136.0,0.9864499999999999,1.0,1.0
137.0,0.9983583333333335,1.0,1.0
138.0,0.9809166666666669,1.0,1.0
139.0,0.9954916666666668,1.0,1.0
140.0,0.9978583333333333,1.0,1.0
141.0,0.9900166666666667,1.0,1.0
142.0,0.997325,1.0,1.0
143.0,0.9766666666666666,1.0,1.0
144.0,0.9958416666666667,1.0,1.0
145.0,0.9906833333333332,1.0,1.0
146.0,0.9956916666666668,1.0,1.0
147.0,0.9812666666666666,1.0,1.0
148.0,0.9983749999999999,1.0,1.0
149.0,0.9979916666666666,1.0,1.0
150.0,0.998275,1.0,1.0
151.0,0.998425,1.0,1.0
152.0,0.9888000000000001,1.0,1.0
153.0,0.9985916666666667,1.0,1.0
154.0,0.9920416666666667,1.0,1.0
155.0,0.9944583333333332,1.0,1.0
156.0,0.9778583333333333,1.0,1.0
157.0,0.9778833333333334,1.0,1.0
158.0,0.9702250000000001,1.0,1.0
159.0,0.9979666666666667,1.0,1.0
160.0,0.9981000000000002,1.0,1.0
161.0,0.9950833333333332,1.0,1.0
162.0,0.9918,1.0,1.0
163.0,0.9984833333333333,1.0,1.0
164.0,0.9810666666666665,1.0,1.0
165.0,0.9978583333333333,1.0,1.0
166.0,0.9817916666666666,0.9995833333333334,1.0
167.0,0.9969666666666666,1.0,1.0
168.0,0.9976166666666667,1.0,1.0
169.0,0.9833333333333333,1.0,1.0
170.0,0.977,1.0,1.0
171.0,0.9973916666666667,1.0,1.0
172.0,0.9979166666666667,1.0,1.0
173.0,0.9866166666666668,1.0,1.0
174.0,0.9992583333333335,1.0,1.0
175.0,0.9986833333333334,1.0,1.0
176.0,0.9807333333333332,1.0,1.0
177.0,0.9956083333333333,1.0,1.0
178.0,0.9988083333333333,1.0,1.0
179.0,0.9986416666666668,1.0,1.0
180.0,0.9986833333333334,1.0,1.0
181.0,0.9987333333333334,1.0,1.0
182.0,0.996375,1.0,1.0
183.0,0.9949916666666667,1.0,1.0
184.0,0.9771083333333332,1.0,1.0
185.0,0.9982583333333334,1.0,1.0
186.0,0.9976083333333332,1.0,1.0
187.0,0.9920333333333333,1.0,1.0
188.0,0.9816583333333334,1.0,1.0
189.0,0.9812166666666665,1.0,1.0
190.0,0.9874083333333334,1.0,1.0
191.0,0.9951166666666666,1.0,1.0
192.0,0.9982333333333332,1.0,1.0
193.0,0.9974916666666667,1.0,1.0
194.0,0.9989583333333333,1.0,1.0
195.0,0.9914999999999999,1.0,1.0
196.0,0.9942500000000001,1.0,1.0
197.0,0.978275,1.0,1.0
198.0,0.9989333333333333,1.0,1.0
199.0,0.9803083333333333,1.0,1.0
