generation,average,best,worst
61,0.9997714285714285,1.0,0.9885714285714285
62,0.9982761904761905,1.0,0.9614285714285714
63,0.9988666666666667,1.0,0.9614285714285714
64,1.0,1.0,1.0
65,0.9962571428571428,1.0,0.8971428571428571
66,0.981752380952381,1.0,0.1876190476190476
67,0.9977142857142858,1.0,0.9614285714285714
68,0.9987428571428572,1.0,0.9795238095238096
69,0.9998095238095237,1.0,0.9904761904761905
70,0.9812000000000001,1.0,0.19000000000000003
71,0.9991904761904762,1.0,0.9714285714285715
72,0.9986380952380952,1.0,0.9504761904761905
73,0.999552380952381,1.0,0.9838095238095238
74,0.9999428571428571,1.0,0.9976190476190476
75,0.9990857142857144,1.0,0.9714285714285715
76,0.9996571428571428,1.0,0.9828571428571428
77,0.9992190476190476,1.0,0.9857142857142858
78,0.9976190476190476,1.0,0.969047619047619
79,0.9997619047619049,1.0,0.9885714285714285
80,0.9833619047619048,1.0,0.19000000000000003
81,0.998247619047619,1.0,0.9761904761904762
82,0.9942761904761904,1.0,0.8471428571428571
83,0.9979523809523809,1.0,0.9257142857142857
84,0.9998666666666667,1.0,0.9933333333333333
85,0.9979904761904761,1.0,0.9257142857142857
86,0.9975428571428572,1.0,0.9257142857142857
87,0.9991142857142857,1.0,0.9557142857142856
88,0.9992190476190476,1.0,0.9642857142857143
89,0.983552380952381,1.0,0.1876190476190476
90,0.9999904761904762,1.0,0.9995238095238096
91,0.9990761904761905,1.0,0.9828571428571428
92,0.9993142857142857,1.0,0.9804761904761904
93,0.9976571428571428,1.0,0.9257142857142857
94,0.9947047619047619,1.0,0.8852380952380953
95,0.9795428571428572,1.0,0.008095238095238095
96,0.9985047619047619,1.0,0.9357142857142856
97,0.9998666666666667,1.0,0.9966666666666667
98,0.9988380952380952,1.0,0.9823809523809524
99,0.9983333333333333,1.0,0.9357142857142856
100,0.9959904761904762,1.0,0.8471428571428571
101,0.9829238095238095,1.0,0.2142857142857143
102,0.999447619047619,1.0,0.981904761904762
103,0.9987142857142857,1.0,0.9357142857142856
104,0.9997809523809523,1.0,0.9890476190476191
105,0.9981333333333333,1.0,0.9214285714285714
106,0.9800857142857143,1.0,0.008095238095238095
107,0.9976476190476191,1.0,0.8833333333333333
108,0.9994761904761904,1.0,0.9828571428571428
109,0.9995047619047619,1.0,0.9785714285714286
110,0.9995333333333334,1.0,0.9880952380952381
111,0.9991809523809523,1.0,0.9704761904761905
112,0.997247619047619,1.0,0.8852380952380953
113,0.9977333333333332,1.0,0.9357142857142856
114,0.9972095238095239,1.0,0.9276190476190477
115,0.9976476190476191,1.0,0.8971428571428571
116,0.9782571428571428,1.0,0.14238095238095239
117,0.9996761904761905,1.0,0.9838095238095238
118,0.9968857142857144,1.0,0.8733333333333334
119,0.9999904761904762,1.0,0.9995238095238096
120,0.9983809523809524,1.0,0.9704761904761905
121,0.9989904761904762,1.0,0.9714285714285715
122,0.9984190476190475,1.0,0.9357142857142856
123,1.0,1.0,1.0
124,0.9993238095238095,1.0,0.9776190476190476
125,0.999447619047619,1.0,0.9838095238095238
126,0.9999047619047619,1.0,0.9961904761904762
127,0.9996095238095237,1.0,0.9847619047619047
128,0.9993619047619048,1.0,0.9714285714285715
129,0.9879809523809524,1.0,0.44047619047619047
130,0.9991809523809523,1.0,0.9776190476190476
